training_round,buffer_size,learning_rate,batch_size,learning_starts,target_update_interval,train_freq,gradient_steps,gamma,n_timestamps,mean_train_returns,mean_eval_returns,n_eval_episodes,time_to_train,exploration_final_eps,model_name
1,10000,1e-06,32,1000,100,4,1,0.99,500000,490.73732718894007,210.0,50,18:56 mins,,
2,10000,0.0001,32,1000,1000,4,1,0.99,500000,576.6079295154185,210.0,50,18:56 mins,,
3,10000,1e-06,32,1000,1000,4,1,0.99,500000,495.83634175691935,210.0,56,18:56 mins,,
4,100000,0.0001,32,1000,1000,4,1,0.99,500000,578.6438809261301,70.0,56,18:56 mins,,
5,100000,0.0001,32,100000,1000,4,1,0.99,500000,507.5910064239829,70.0,56,18:56 mins,,
6,10000,0.0001,32,100000,1000,4,1,0.99,500000,526.0807860262008,294.2857142857143,56,18:56 mins,,
7,10000,0.0001,32,100000,1000,4,1,0.99,1000000,566.444814198558,288.0357142857143,56,35:52 mins,,
8,100000,0.0001,32,100000,1000,4,1,0.99,1000000,586.2401795735129,70.0,56,35.73184906641642 mins,,
9,10000,0.0001,32,150000,1000,4,1,0.99,500000,488.8924731182795,274.2857142857143,56,14.74 mins,,
10,10000,0.0001,32,150000,1000,4,1,0.99,1000000,566.7149220489978,85.35714285714286,56,34.2 mins,,
11,10000,0.0001,32,150000,1000,4,1,0.99,1500000,582.5128960943257,300.0,56,51.72 mins,,
12,10000,1e-05,32,100000,1000,4,1,0.99,500000,526.7421790722761,210.0,56,15.89 mins,,
13,10000,0.0001,32,100000,1000,4,1,0.99,500000,525.8032786885246,306.7857142857143,56,16.24 mins,0.01,
14,50000,0.0001,32,100000,1000,4,1,0.99,500000,523.8032786885246,87.7857142857143,56,16.24 mins,0.01,
15,10000,0.0001,32,100000,10000,4,1,0.99,500000,714.8319814600231,1384.821428571429,56,15.97 mins,0.01,
16,10000,0.0001,32,100000,10000,4,1,0.99,1500000,880.2418682235196,1364.2857142857142,56,54.38 mins,0.01,
17,10000,0.0001,32,100000,10000,4,1,0.99,500000,592.4722838137473,557.8571428571429,56,16.58 mins,0.001,
18,10000,0.0001,32,100000,10000,4,1,0.99,500000,710.1349693251534,617.3214285714286,56,16.18 mins,0.005,
19,10000,0.0001,32,100000,10000,4,1,0.99,500000,617.0379146919431,681.25,56,16.64 mins,0.02,
20,10000,0.0001,32,100000,10000,4,1,0.99,500000,624.5993413830955,1217.678571428571,56,16.6 mins,0.015,
21,10000,0.0001,32,100000,20000,4,1,0.99,500000,726.0408684546616,1338.0357142857142,56,16.29 mins,0.01,
22,100000,0.0001,32,100000,10000,4,1,0.99,500000,594.3548387096774,511.25,56,16.17 mins,0.01,
23,10000,0.0001,32,100000,10000,4,1,0.99,5000000,814.6916113458057,1261.7857142857142,56,187.35 mins,0.01,
24,20000,0.0001,32,100000,10000,4,1,0.99,1000000,732.0182370820669,1488.392857142857,56,35.4 mins,0.01,
25,50000,0.0001,32,100000,10000,4,1,0.99,2500000,756.5141612200435,980.1785714285714,56,90.09 mins,0.01,
26,20000,0.0001,32,100000,10000,4,1,0.99,2500000,755.0718285853421,874.4642857142857,56,90.66 mins,0.01,
27,10000,0.0001,32,100000,15000,4,1,0.99,500000,591.7692307692307,766.7857142857143,56,15.94 mins,0.01,model_500000_steps_2026-04-29T14:27:28
28,10000,0.0001,32,100000,10000,4,1,0.99,500000,676.039119804401,1098.928571428571,56,15.92 mins,0.01,model_500000_steps_2026-04-29T14:48:50
29,10000,0.0001,32,100000,20000,4,1,0.99,500000,634.6044864226683,558.2142857142857,56,15.98 mins,0.01,model_500000_steps_2026-04-29T15:11:31
30,10000,0.0001,32,100000,20000,4,1,0.99,1000000,850.844327176781,1388.5714285714287,56,35.36 mins,0.01,model_1000000_steps_2026-04-29T15:50:51
