training_round,buffer_size,learning_rate,batch_size,learning_starts,target_update_interval,train_freq,gradient_steps,gamma,n_timestamps,mean_train_returns,mean_eval_returns,n_eval_episodes,time_to_train
1,10000,1e-05,32,500,100,4,1,0.99,10000,120.0,,,
2,10000,0.0001,32,500,100,4,1,0.99,10000,86.0,,,
3,10000,1e-06,32,500,100,4,1,0.99,10000,303.0,,,
4,10000,1e-07,32,500,100,4,1,0.99,10000,167.5,285.0,20.0,
5,10000,1e-06,32,500,100,4,1,0.99,10000,158.75,405.0,20.0,
6,10000,1e-05,32,500,100,4,1,0.99,10000,233.75,255.0,20.0,
7,10000,1e-06,64,500,100,4,1,0.99,10000,233.75,150.0,20.0,
8,10000,1e-06,32,1000,100,4,1,0.99,10000,221.66,150.0,20.0,
9,10000,1e-06,32,500,100,4,1,0.99,20000,197.0,125.0,20.0,
10,10000,1e-06,32,500,50,4,1,0.99,10000,166.0,175.0,20.0,
11,10000,1e-06,32,500,150,4,1,0.99,10000,183.0,250.0,20.0,
12,10000,1e-06,32,500,100,4,1,0.99,100000,167.0,135.0,20.0,
13,10000,1e-06,32,2000,100,4,1,0.99,10000,230.0,25.0,20.0,12:54 mins
14,10000,1e-06,32,2000,100,4,1,0.99,50000,278.0,215.0,20.0,1:16:16 h
15,22000,1e-06,32,2000,100,4,1,0.99,50000,244.0,115.0,20.0,1:17:16 h
16,20000,0.0001,32,10000,1000,4,1,0.99,50000,170.0,105.0,20.0,1:05:16 h
17,10000,4e-06,32,1000,100,4,1,0.99,50000,195.0,45.0,20.0,1:18:16 h
18,10000,1e-06,32,1000,100,4,1,0.99,10000,230.0,85.0,20.0,00:37 mins
19,10000,1e-06,32,1000,100,4,1,0.99,500000,244.0,441.0,20.0,33:00 mins
20,10000,1e-06,32,10000,100,4,1,0.99,500000,231.0,168.0,20.0,33:00 mins
21,10000,1e-06,32,5000,100,4,1,0.99,500000,236.0,210.0,20.0,33:00 mins
22,50000,1e-06,32,1000,100,4,1,0.99,500000,259.0,362.0,20.0,33:00 mins
23,50000,1e-05,32,1000,100,4,1,0.99,500000,236.0,236.0,20.0,32:00 mins
24,50000,5e-06,32,1000,100,4,1,0.99,500000,232.0,158.0,20.0,32:00 mins
25,10000,1e-06,32,1000,100,4,1,0.99,1500000,266.0,254.0,20.0,1:38:00 h
26,10000,1e-06,32,1000,1000,4,1,0.99,500000,256.0,329.0,20.0,32:00 mins
27,100000,1e-06,32,1000,1000,4,1,0.99,500000,244.0,236.0,20.0,32:00 mins
28,10000,1e-06,32,1000,100,4,1,0.99,1500000,265.0,379.0,20.0,1:38:00 h 
29,10000,1e-06,32,10000,1000,4,1,0.99,500000,238.0,225.0,20.0,18:00 mins
30,100000,1e-06,32,10000,1000,4,1,0.99,500000,200.0,271.0,20.0,18:00 mins
31,25500,2.5e-06,32,5700,100,4,1,0.99,500000,233.0,301.0,20.0,18:00 mins
